"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.88","43.92","OSHAWA","6155875","2020-01-01","2020","01","01","","0.3","","-4.8","","-2.3","","20.3","","0.0","","","","","","0.0","","","","27","","41",""
"-78.88","43.92","OSHAWA","6155875","2020-01-02","2020","01","02","","5.4","","-3.5","","1.0","","17.0","","0.0","","","","","","0.2","","","","22","","45",""
"-78.88","43.92","OSHAWA","6155875","2020-01-03","2020","01","03","","8.0","","0.3","","4.2","","13.8","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2020-01-04","2020","01","04","","2.2","","-0.8","","0.7","","17.3","","0.0","","","","","","1.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2020-01-05","2020","01","05","","1.0","","-3.2","","-1.1","","19.1","","0.0","","","","","","0.0","","","","31","","39",""
"-78.88","43.92","OSHAWA","6155875","2020-01-06","2020","01","06","","1.4","","-1.7","","-0.2","","18.2","","0.0","","","","","","4.7","","","","28","","54",""
"-78.88","43.92","OSHAWA","6155875","2020-01-07","2020","01","07","","2.4","","-10.3","","-4.0","","22.0","","0.0","","","","","","0.8","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2020-01-08","2020","01","08","","-0.4","","-12.9","","-6.7","","24.7","","0.0","","","","","","0.0","","","","29","","63",""
"-78.88","43.92","OSHAWA","6155875","2020-01-09","2020","01","09","","2.1","","-15.9","","-6.9","","24.9","","0.0","","","","","","0.0","","","","11","","45",""
"-78.88","43.92","OSHAWA","6155875","2020-01-10","2020","01","10","","6.1","","2.1","","4.1","","13.9","","0.0","","","","","","1.5","","","","21","","39",""
"-78.88","43.92","OSHAWA","6155875","2020-01-11","2020","01","11","","11.3","","1.1","","6.2","","11.8","","0.0","","","","","","57.3","","","","34","","39",""
"-78.88","43.92","OSHAWA","6155875","2020-01-12","2020","01","12","","1.1","","-7.0","","-3.0","","21.0","","0.0","","","","","","12.0","","","","31","","54",""
"-78.88","43.92","OSHAWA","6155875","2020-01-13","2020","01","13","","-0.1","","-6.5","","-3.3","","21.3","","0.0","","","","","","0.4","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2020-01-14","2020","01","14","","2.0","","-2.3","","-0.2","","18.2","","0.0","","","","","","0.0","","","","10","","41",""
"-78.88","43.92","OSHAWA","6155875","2020-01-15","2020","01","15","","3.6","","0.5","","2.1","","15.9","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2020-01-16","2020","01","16","","0.6","","-12.7","","-6.1","","24.1","","0.0","","","","","","0.0","","","","31","","61",""
"-78.88","43.92","OSHAWA","6155875","2020-01-17","2020","01","17","","-9.0","","-16.6","","-12.8","","30.8","","0.0","","","","","","0.0","","","","35","","37",""
"-78.88","43.92","OSHAWA","6155875","2020-01-18","2020","01","18","","1.7","","-10.0","","-4.2","","22.2","","0.0","","","","","","1.0","","","","11","","58",""
"-78.88","43.92","OSHAWA","6155875","2020-01-19","2020","01","19","","1.0","","-12.6","","-5.8","","23.8","","0.0","","","","","","0.7","","","","27","","46",""
"-78.88","43.92","OSHAWA","6155875","2020-01-20","2020","01","20","","-5.7","","-18.2","","-12.0","","30.0","","0.0","","","","","","0.0","","","","35","","39",""
"-78.88","43.92","OSHAWA","6155875","2020-01-21","2020","01","21","","-2.2","","-19.8","","-11.0","","29.0","","0.0","","","","","","0.0","","","","25","","33",""
"-78.88","43.92","OSHAWA","6155875","2020-01-22","2020","01","22","","0.3","","-13.2","","-6.5","","24.5","","0.0","","","","","","0.0","","","","20","","46",""
"-78.88","43.92","OSHAWA","6155875","2020-01-23","2020","01","23","","3.1","","-12.5","","-4.7","","22.7","","0.0","","","","","","0.2","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2020-01-24","2020","01","24","","4.1","","-0.7","","1.7","","16.3","","0.0","","","","","","14.1","","","","8","","41",""
"-78.88","43.92","OSHAWA","6155875","2020-01-25","2020","01","25","","2.4","","0.5","","1.5","","16.5","","0.0","","","","","","20.8","","","","9","","48",""
"-78.88","43.92","OSHAWA","6155875","2020-01-26","2020","01","26","","3.4","","0.4","","1.9","","16.1","","0.0","","","","","","2.0","","","","23","","35",""
"-78.88","43.92","OSHAWA","6155875","2020-01-27","2020","01","27","","1.4","","-0.5","","0.5","","17.5","","0.0","","","","","","0.2","","","","30","","35",""
"-78.88","43.92","OSHAWA","6155875","2020-01-28","2020","01","28","","0.9","","-4.6","","-1.9","","19.9","","0.0","","","","","","0.0","","","","32","","37",""
"-78.88","43.92","OSHAWA","6155875","2020-01-29","2020","01","29","","-2.8","","-10.9","","-6.9","","24.9","","0.0","","","","","","0.0","","","","","M","","M"
