"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.88","43.92","OSHAWA","6155875","2015-01-01","2015","01","01","","-1.5","","-7.6","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-02","2015","01","02","","-1.7","","-10.1","","-5.9","","23.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-03","2015","01","03","","1.8","","-8.7","","-3.5","","21.5","","0.0","","","M","","M","8.8","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-04","2015","01","04","","4.6","","-5.1","","-0.3","","18.3","","0.0","","","M","","M","8.1","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-05","2015","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2015-01-06","2015","01","06","","-7.3","","-13.3","","-10.3","","28.3","","0.0","","","M","","M","0.3","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-07","2015","01","07","","-9.1","","-21.2","","-15.2","","33.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-08","2015","01","08","","-8.0","","-20.2","","-14.1","","32.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-09","2015","01","09","","-4.8","","-12.5","","-8.7","","26.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-10","2015","01","10","","-9.1","","-14.7","","-11.9","","29.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-11","2015","01","11","","-0.2","","-12.4","","-6.3","","24.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-12","2015","01","12","","-0.8","","-17.5","","-9.2","","27.2","","0.0","","","M","","M","0.6","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-13","2015","01","13","","-11.7","","-22.0","","-16.9","","34.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-14","2015","01","14","","-4.4","","-15.5","","-10.0","","28.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-15","2015","01","15","","-2.8","","-15.4","","-9.1","","27.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-16","2015","01","16","","-2.8","","-17.3","","-10.1","","28.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-17","2015","01","17","","3.9","","-19.2","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-18","2015","01","18","","5.4","","0.1","","2.8","","15.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-19","2015","01","19","","0.3","","-11.2","","-5.5","","23.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-20","2015","01","20","","-6.6","","-15.1","","-10.9","","28.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-21","2015","01","21","","-4.1","","-15.7","","-9.9","","27.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-22","2015","01","22","","-0.3","","-11.9","","-6.1","","24.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-23","2015","01","23","","0.6","","-8.1","","-3.8","","21.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2015-01-24","2015","01","24","","-0.4","","-6.1","","-3.3","","21.3","","0.0","","","M","","M","0.0","","","","","","<31",""
