"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.88","43.92","OSHAWA","6155875","2018-01-01","2018","01","01","","-8.7","","-26.7","","-17.7","","35.7","","0.0","","","M","","M","0.0","","","","28","","59",""
"-78.88","43.92","OSHAWA","6155875","2018-01-02","2018","01","02","","-6.9","","-19.3","","-13.1","","31.1","","0.0","","","M","","M","0.0","","","","25","","54",""
"-78.88","43.92","OSHAWA","6155875","2018-01-03","2018","01","03","","-5.7","","-12.5","","-9.1","","27.1","","0.0","","","M","","M","0.0","","","","25","","46",""
"-78.88","43.92","OSHAWA","6155875","2018-01-04","2018","01","04","","-8.4","","-21.9","","-15.2","","33.2","","0.0","","","M","","M","0.0","","","","34","","59",""
"-78.88","43.92","OSHAWA","6155875","2018-01-05","2018","01","05","","-17.0","","-24.6","","-20.8","","38.8","","0.0","","","M","","M","0.0","","","","32","","52",""
"-78.88","43.92","OSHAWA","6155875","2018-01-06","2018","01","06","","-17.4","","-26.7","","-22.1","","40.1","","0.0","","","M","","M","0.0","","","","29","","44",""
"-78.88","43.92","OSHAWA","6155875","2018-01-07","2018","01","07","","-2.6","","-26.0","","-14.3","","32.3","","0.0","","","M","","M","0.0","","","","21","","50",""
"-78.88","43.92","OSHAWA","6155875","2018-01-08","2018","01","08","","2.1","","-2.6","","-0.3","","18.3","","0.0","","","M","","M","5.4","","","","23","","46",""
"-78.88","43.92","OSHAWA","6155875","2018-01-09","2018","01","09","","0.8","","-2.7","","-1.0","","19.0","","0.0","","","M","","M","0.0","","","","26","","37",""
"-78.88","43.92","OSHAWA","6155875","2018-01-10","2018","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2018-01-11","2018","01","11","","9.3","","2.1","","5.7","","12.3","","0.0","","","M","","M","11.5","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2018-01-12","2018","01","12","","10.5","","-11.8","","-0.7","","18.7","","0.0","","","M","","M","14.3","","","","33","","65",""
"-78.88","43.92","OSHAWA","6155875","2018-01-13","2018","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2018-01-14","2018","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2018-01-15","2018","01","15","","-8.1","","-12.2","","-10.2","","28.2","","0.0","","","M","","M","0.0","","","","8","","50",""
"-78.88","43.92","OSHAWA","6155875","2018-01-16","2018","01","16","","-3.3","","-10.2","","-6.8","","24.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2018-01-17","2018","01","17","","-5.2","","-15.2","","-10.2","","28.2","","0.0","","","M","","M","0.0","","","","21","","39",""
"-78.88","43.92","OSHAWA","6155875","2018-01-18","2018","01","18","","-4.2","","-9.0","","-6.6","","24.6","","0.0","","","M","","M","0.0","","","","26","","37",""
"-78.88","43.92","OSHAWA","6155875","2018-01-19","2018","01","19","","2.8","","-9.1","","-3.2","","21.2","","0.0","","","M","","M","0.0","","","","21","","44",""
"-78.88","43.92","OSHAWA","6155875","2018-01-20","2018","01","20","","5.0","","-1.1","","2.0","","16.0","","0.0","","","M","","M","0.0","","","","22","","43",""
"-78.88","43.92","OSHAWA","6155875","2018-01-21","2018","01","21","","3.4","","-2.7","","0.4","","17.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2018-01-22","2018","01","22","","2.3","","0.2","","1.3","","16.7","","0.0","","","M","","M","6.6","","","","8","","46",""
"-78.88","43.92","OSHAWA","6155875","2018-01-23","2018","01","23","","6.7","","-6.2","","0.3","","17.7","","0.0","","","M","","M","3.5","","","","29","","61",""
"-78.88","43.92","OSHAWA","6155875","2018-01-24","2018","01","24","","-6.2","","-12.6","","-9.4","","27.4","","0.0","","","M","","M","0.0","","","","31","","52",""
"-78.88","43.92","OSHAWA","6155875","2018-01-25","2018","01","25","","-4.6","","-11.6","","-8.1","","26.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2018-01-26","2018","01","26","","2.1","","-5.2","","-1.6","","19.6","","0.0","","","M","","M","0.0","","","","11","","46",""
"-78.88","43.92","OSHAWA","6155875","2018-01-27","2018","01","27","","6.7","","-2.6","","2.1","","15.9","","0.0","","","M","","M","0.5","","","","21","","46",""
"-78.88","43.92","OSHAWA","6155875","2018-01-28","2018","01","28","","4.4","","-4.8","","-0.2","","18.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2018-01-29","2018","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2018-01-30","2018","01","30","","","","","","","","","","","","","","","","","","","","","","",""
