"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.88","43.92","OSHAWA","6155875","2017-01-01","2017","01","01","","2.1","","-6.4","","-2.2","","20.2","","0.0","","","M","","M","0.0","","","","27","","48",""
"-78.88","43.92","OSHAWA","6155875","2017-01-02","2017","01","02","","3.7","","-6.4","","-1.4","","19.4","","0.0","","","M","","M","0.0","","","","11","","41",""
"-78.88","43.92","OSHAWA","6155875","2017-01-03","2017","01","03","","3.5","","1.5","","2.5","","15.5","","0.0","","","M","","M","11.2","","","","10","","33",""
"-78.88","43.92","OSHAWA","6155875","2017-01-04","2017","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-01-05","2017","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-01-06","2017","01","06","","-6.3","","-15.0","","-10.7","","28.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-01-07","2017","01","07","","-6.4","","-17.5","","-12.0","","30.0","","0.0","","","M","","M","0.0","","","","27","","35",""
"-78.88","43.92","OSHAWA","6155875","2017-01-08","2017","01","08","","-10.1","","-14.8","","-12.5","","30.5","","0.0","","","M","","M","0.0","","","","33","","44",""
"-78.88","43.92","OSHAWA","6155875","2017-01-09","2017","01","09","","-1.7","","-11.9","","-6.8","","24.8","","0.0","","","M","","M","0.0","","","","22","","48",""
"-78.88","43.92","OSHAWA","6155875","2017-01-10","2017","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-01-11","2017","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-01-12","2017","01","12","","6.3","","-1.9","","2.2","","15.8","","0.0","","","M","","M","15.0","","","","28","","41",""
"-78.88","43.92","OSHAWA","6155875","2017-01-13","2017","01","13","","-1.3","","-11.7","","-6.5","","24.5","","0.0","","","M","","M","0.0","","","","30","","59",""
"-78.88","43.92","OSHAWA","6155875","2017-01-14","2017","01","14","","-3.6","","-12.3","","-8.0","","26.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-01-15","2017","01","15","","-0.2","","-9.0","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-01-16","2017","01","16","","3.5","","-10.5","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-01-17","2017","01","17","","1.4","","-4.1","","-1.4","","19.4","","0.0","","","M","","M","10.5","","","","8","","54",""
"-78.88","43.92","OSHAWA","6155875","2017-01-18","2017","01","18","","2.9","","0.5","","1.7","","16.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-01-19","2017","01","19","","3.8","","1.1","","2.5","","15.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-01-20","2017","01","20","","4.2","","1.4","","2.8","","15.2","","0.0","","","M","","M","0.0","","","","10","","37",""
"-78.88","43.92","OSHAWA","6155875","2017-01-21","2017","01","21","","5.7","","1.4","","3.6","","14.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-01-22","2017","01","22","","7.3","","1.7","","4.5","","13.5","","0.0","","","M","","M","0.0","","","","9","","33",""
"-78.88","43.92","OSHAWA","6155875","2017-01-23","2017","01","23","","5.0","","-0.3","","2.4","","15.6","","0.0","","","M","","M","0.0","","","","7","","37",""
"-78.88","43.92","OSHAWA","6155875","2017-01-24","2017","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-01-25","2017","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-01-26","2017","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-01-27","2017","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-01-28","2017","01","28","","-0.7","","-2.0","","-1.4","","19.4","","0.0","","","M","","M","0.0","","","","25","","39",""
"-78.88","43.92","OSHAWA","6155875","2017-01-29","2017","01","29","","-1.7","","-8.9","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","25","","41",""
"-78.88","43.92","OSHAWA","6155875","2017-01-30","2017","01","30","","-5.6","","-13.1","","-9.4","","27.4","","0.0","","","M","","M","0.0","","","","26","","32",""
"-78.88","43.92","OSHAWA","6155875","2017-01-31","2017","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-02-01","2017","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-02-02","2017","02","02","","-3.1","","-6.8","","-5.0","","23.0","","0.0","","","M","","M","0.0","","","","26","","52",""
"-78.88","43.92","OSHAWA","6155875","2017-02-03","2017","02","03","","-4.3","","-9.3","","-6.8","","24.8","","0.0","","","M","","M","0.0","","","","25","","44",""
"-78.88","43.92","OSHAWA","6155875","2017-02-04","2017","02","04","","-2.0","","-7.7","","-4.9","","22.9","","0.0","","","M","","M","0.0","","","","25","","44",""
"-78.88","43.92","OSHAWA","6155875","2017-02-05","2017","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-02-06","2017","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-02-07","2017","02","07","","2.4","","-2.4","","0.0","","18.0","","0.0","","","M","","M","12.5","","","","7","","46",""
"-78.88","43.92","OSHAWA","6155875","2017-02-08","2017","02","08","","3.2","","-9.6","","-3.2","","21.2","","0.0","","","M","","M","0.0","","","","30","","54",""
"-78.88","43.92","OSHAWA","6155875","2017-02-09","2017","02","09","","-5.6","","-13.8","","-9.7","","27.7","","0.0","","","M","","M","0.0","","","","28","","43",""
"-78.88","43.92","OSHAWA","6155875","2017-02-10","2017","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-02-11","2017","02","11","","2.7","","-3.0","","-0.2","","18.2","","0.0","","","M","","M","0.0","","","","10","","32",""
"-78.88","43.92","OSHAWA","6155875","2017-02-12","2017","02","12","","0.5","","-5.9","","-2.7","","20.7","","0.0","","","M","","M","11.6","","","","30","","67",""
"-78.88","43.92","OSHAWA","6155875","2017-02-13","2017","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-02-14","2017","02","14","","4.2","","-14.3","","-5.1","","23.1","","0.0","","","M","","M","0.0","","","","20","","43",""
"-78.88","43.92","OSHAWA","6155875","2017-02-15","2017","02","15","","1.2","","-7.8","","-3.3","","21.3","","0.0","","","M","","M","0.0","","","","32","","52",""
"-78.88","43.92","OSHAWA","6155875","2017-02-16","2017","02","16","","-4.4","","-12.8","","-8.6","","26.6","","0.0","","","M","","M","0.0","","","","33","","44",""
"-78.88","43.92","OSHAWA","6155875","2017-02-17","2017","02","17","","-1.0","","-7.0","","-4.0","","22.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-02-18","2017","02","18","","12.1","","-6.8","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","28","","41",""
"-78.88","43.92","OSHAWA","6155875","2017-02-19","2017","02","19","","10.9","","1.0","","6.0","","12.0","","0.0","","","M","","M","0.0","","","","31","","46",""
"-78.88","43.92","OSHAWA","6155875","2017-02-20","2017","02","20","","3.8","","-3.4","","0.2","","17.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-02-21","2017","02","21","","6.2","","-0.2","","3.0","","15.0","","0.0","","","M","","M","2.2","","","","10","","35",""
"-78.88","43.92","OSHAWA","6155875","2017-02-22","2017","02","22","","7.9","","2.5","","5.2","","12.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-02-23","2017","02","23","","18.3","","0.2","","9.3","","8.7","","0.0","","","M","","M","0.0","","","","25","","54",""
"-78.88","43.92","OSHAWA","6155875","2017-02-24","2017","02","24","","6.2","","0.0","","3.1","","14.9","","0.0","","","M","","M","2.0","","","","9","","35",""
"-78.88","43.92","OSHAWA","6155875","2017-02-25","2017","02","25","","7.7","","-1.9","","2.9","","15.1","","0.0","","","M","","M","7.8","","","","26","","59",""
"-78.88","43.92","OSHAWA","6155875","2017-02-26","2017","02","26","","2.7","","-3.2","","-0.3","","18.3","","0.0","","","M","","M","0.0","","","","21","","52",""
"-78.88","43.92","OSHAWA","6155875","2017-02-27","2017","02","27","","9.0","","-3.2","","2.9","","15.1","","0.0","","","M","","M","0.0","","","","28","","43",""
"-78.88","43.92","OSHAWA","6155875","2017-02-28","2017","02","28","","8.7","","-1.0","","3.9","","14.1","","0.0","","","M","","M","2.6","","","","10","","46",""
"-78.88","43.92","OSHAWA","6155875","2017-03-01","2017","03","01","","11.9","","-3.8","","4.1","","13.9","","0.0","","","M","","M","18.9","","","","25","","80",""
"-78.88","43.92","OSHAWA","6155875","2017-03-02","2017","03","02","","-3.1","","-9.3","","-6.2","","24.2","","0.0","","","M","","M","0.0","","","","29","","67",""
"-78.88","43.92","OSHAWA","6155875","2017-03-03","2017","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-03-04","2017","03","04","","-7.9","","-13.6","","-10.8","","28.8","","0.0","","","M","","M","0.0","","","","35","","35",""
"-78.88","43.92","OSHAWA","6155875","2017-03-05","2017","03","05","","-1.4","","-14.9","","-8.2","","26.2","","0.0","","","M","","M","0.0","","","","10","","41",""
"-78.88","43.92","OSHAWA","6155875","2017-03-06","2017","03","06","","5.6","","-2.2","","1.7","","16.3","","0.0","","","M","","M","0.0","","","","10","","37",""
"-78.88","43.92","OSHAWA","6155875","2017-03-07","2017","03","07","","9.8","","3.9","","6.9","","11.1","","0.0","","","M","","M","10.7","","","","22","","43",""
"-78.88","43.92","OSHAWA","6155875","2017-03-08","2017","03","08","","9.3","","-1.3","","4.0","","14.0","","0.0","","","M","","M","0.0","","","","23","","67",""
"-78.88","43.92","OSHAWA","6155875","2017-03-09","2017","03","09","","2.5","","-3.2","","-0.4","","18.4","","0.0","","","M","","M","0.0","","","","31","","69",""
"-78.88","43.92","OSHAWA","6155875","2017-03-10","2017","03","10","","-2.2","","-12.9","","-7.6","","25.6","","0.0","","","M","","M","0.0","","","","30","","70",""
"-78.88","43.92","OSHAWA","6155875","2017-03-11","2017","03","11","","-7.6","","-16.8","","-12.2","","30.2","","0.0","","","M","","M","0.0","","","","29","","61",""
"-78.88","43.92","OSHAWA","6155875","2017-03-12","2017","03","12","","-6.4","","-15.4","","-10.9","","28.9","","0.0","","","M","","M","0.0","","","","30","","46",""
"-78.88","43.92","OSHAWA","6155875","2017-03-13","2017","03","13","","-6.1","","-14.9","","-10.5","","28.5","","0.0","","","M","","M","0.0","","","","3","","33",""
"-78.88","43.92","OSHAWA","6155875","2017-03-14","2017","03","14","","-6.6","","-10.7","","-8.7","","26.7","","0.0","","","M","","M","0.0","","","","34","","61",""
"-78.88","43.92","OSHAWA","6155875","2017-03-15","2017","03","15","","-3.7","","-10.6","","-7.2","","25.2","","0.0","","","M","","M","0.0","","","","33","","69",""
"-78.88","43.92","OSHAWA","6155875","2017-03-16","2017","03","16","","1.6","","-8.5","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","30","","56",""
"-78.88","43.92","OSHAWA","6155875","2017-03-17","2017","03","17","","4.7","","-8.3","","-1.8","","19.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-03-18","2017","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-03-19","2017","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-03-20","2017","03","20","","4.3","","-5.2","","-0.5","","18.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-03-21","2017","03","21","","12.6","","-4.4","","4.1","","13.9","","0.0","","","M","","M","0.0","","","","25","","65",""
"-78.88","43.92","OSHAWA","6155875","2017-03-22","2017","03","22","","-2.7","","-9.9","","-6.3","","24.3","","0.0","","","M","","M","0.0","","","","33","","59",""
"-78.88","43.92","OSHAWA","6155875","2017-03-23","2017","03","23","","1.6","","-12.6","","-5.5","","23.5","","0.0","","","M","","M","0.0","","","","14","","33",""
"-78.88","43.92","OSHAWA","6155875","2017-03-24","2017","03","24","","10.1","","0.3","","5.2","","12.8","","0.0","","","M","","M","8.0","","","","35","","37",""
"-78.88","43.92","OSHAWA","6155875","2017-03-25","2017","03","25","","5.0","","0.5","","2.8","","15.2","","0.0","","","M","","M","2.3","","","","8","","41",""
"-78.88","43.92","OSHAWA","6155875","2017-03-26","2017","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-03-27","2017","03","27","","13.7","","5.2","","9.5","","8.5","","0.0","","","M","","M","3.2","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-03-28","2017","03","28","","9.9","","1.2","","5.6","","12.4","","0.0","","","M","","M","0.0","","","","34","","35",""
"-78.88","43.92","OSHAWA","6155875","2017-03-29","2017","03","29","","8.3","","-3.1","","2.6","","15.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2017-03-30","2017","03","30","","3.8","","-0.7","","1.6","","16.4","","0.0","","","M","","M","3.9","","","","8","","56",""
"-78.88","43.92","OSHAWA","6155875","2017-03-31","2017","03","31","","3.8","","1.0","","2.4","","15.6","","0.0","","","M","","M","8.5","","","","10","","56",""
"-78.88","43.92","OSHAWA","6155875","2017-04-01","2017","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2017-04-02","2017","04","02","","15.2","","-3.3","","6.0","","12.0","","0.0","","","M","","M","0.0","","","","31","","44",""
"-78.88","43.92","OSHAWA","6155875","2017-04-03","2017","04","03","","12.3","","1.4","","6.9","","11.1","","0.0","","","M","","M","4.2","","","","12","","52",""
"-78.88","43.92","OSHAWA","6155875","2017-04-04","2017","04","04","","9.8","","3.9","","6.9","","11.1","","0.0","","","M","","M","12.3","","","","21","","50",""
"-78.88","43.92","OSHAWA","6155875","2017-04-05","2017","04","05","","8.8","","3.7","","6.3","","11.7","","0.0","","","M","","M","0.0","","","","9","","43",""
